 Mountain in south central seoul, 남산,5666
 Shopping center in seoul, 남대문시장,5665
 Australia, 호주,5664
 France, 프랑스,5663
 Capital of north korea, 평양,5662
 The korean peninsula, 한반도,5661
 Halla-san mountain, 한라산,5660
" The han river, runs through Seoul", 한강,5659
 Seoul’s old south gate, 남대문,5658
 Seoul train station, 서울역,5657
 Seoul, 서울,5656
 Tourist island off south S.Korea, 제주도,5655
" Chili mountain, very beautiful", 지리산,5654
 Paris, 파리,5653
 Japan, 일본,5652
" The HONAM district, which is CHOLLA-DO in S.W south korea", 호남,5651
" Ulsan, home of hyundai car company and hyundai shipbuilding in kyungsamnamdo", 울산,5650
 KimPo Domestic (sometimes international) airport, 김포공항,5649
 Region surrounding seoul, 광주,5648
 Region surrounding seoul, 고려,5647
 Region surrounding seoul, 고구려,5646
 Region surrounding seoul, 경주,5645
 Region surrounding seoul, 경복궁,5644
 Region surrounding seoul, 경기도,5643
 Region surrounding seoul, 강원도,5642
 Korea, 한국,5641
 Korea, 대한민국,5640
 Korea, 우리나라,5639
 Beijing, 베이징(북경),5638
 Historical Korean government, 백제,5637
 Korean mountain, 백두산,5636
 America, 미국,5635
" Busan, city in SE Korea, with largest beach in S.Korea", 부산,5634
 North korea, 북한,5633
 South-western region of south korea, 전라도,5632
 Junju, 전주,5631
 The Diamond Mountains, 금강산,5630
 South america, 남미,5629
 White, 하얀색,5628
 An elementary school student, 초등학생,5627
 That place over there, 저곳,5626
 Younger daughter, 작은딸,5625
 Japanese food, 일식,5624
 There (location), 거기,5623
 Incheon city, 인천,5622
 To wait, 기다리다,5621
 Asia, 아시아,5620
90, 구십,5619
" Consciuosness, awareness", 의식,5618
 Europe, 유럽,5617
 A company, 회사,5616
 England, 영국,5615
" To indicate, point out", 지적하다,5614
 To advance, 발달하다,5613
 In this way, 이렇게,5612
 Germany, 독일,5611
" By nature, primarily, by constitution", 워낙,5610
 Tokyo, 도쿄(동경),5609
" arrangment,regulation,adjustment", 정리,5608
 The foundation or  basis, 근본,5607
 Africa, 아프리카,5606
" Landscape, scenery", 풍경,5605
 New york, 뉴욕,5604
 Daejon city, 대전,5603
 Like that, 저렇게,5602
 Incheon international airport, 인천공항,5601
 Backwards or  bottom up or  the wrong way, 거꾸로,5600
 Name for ancient korea culture, 조선,5599
 Famous mountain, 설악산,5598
 Area around daejon city, 충청도,5597
 Twenty, 이십,5596
 Ninety, 아흔,5595
 Beauty salon, 미용실,5594
 A large sum of money, 검정색,5593
 Beef-rib soup, 갈비탕,5592
 Convenient store, 편의점,5591
 Ketchup, 케첩,5590
 Chinese food, 중식,5589
 Confectionary store, 제과점,5588
 Surgery, 외과,5587
 Eight, 여덟,5586
 One hundred million, 억,5585
" raising,farming,culture", 양식,5584
" A fiance, an engaged person", 약혼자,5583
 Chalk, 분필,5582
 A bruise, 멍멍,5581
80, 팔십,5580
 The wife of the elder brother of one’s father, 큰어머니,5579
" attendance,presence", 출석하다,5578
 Sixty, 육십,5577
" To prepare lessons, rehearse", 예습하다,5576
 Preparation of lessons, 예습,5575
 Advance purchase, 예매하다,5574
 Above zero, 영상,5573
 Yesterday, 어저께,5572
 A girl who is engaged, 약혼녀,5571
 Grocery store, 식품점,5570
 one’s husband’s father, 시아버지,5569
50, 쉰,5568
 The year after next year, 내후년,5567
 Black, 까만색,5566
 Commemoration day, 기념일,5565
 To be absent, 결석하다,5564
 Thousand, 천,5563
 Your esteemed son, 아드님,5562
10, 십,5561
 One dynasty in ancient korea, 신라,5560
 Famous street in Seoul, 종로,5559
 Beef soup with rice, 설렁탕,5558
 A comb, 빗,5557
 Memeograph, 복사기,5556
 Mail, 메일,5555
 The fourth, 넉,5554
" King sejong, who invented Hangul", 세종대왕,5553
 Korean food, 한식,5552
 Korean writing system national holiday, 한글날,5551
 Soccer field, 축구장,5550
 An aunt younger than your mother, 작은어머니,5549
 Five, 오,5548
 Sixty, 예순,5547
 The solar calendar, 양력,5546
 Pediatrics, 소아과,5545
 Colored pencil, 색연필,5544
 Sugar, 사탕,5543
 Pickled cabbage, 배추김치,5542
 Fifth, 다섯째,5541
 An eye disease, 눈병,5540
 A cold or unheated room, 냉방,5539
 The day before yesterday, 그저께,5538
 Tourist bus, 관광버스,5537
 Bus to the airport, 공항버스,5536
 Kyung-San-Do province (ulsan or kyungju), 경상도,5535
 The wife of one’s older brother, 형수,5534
 Student identification, 학생증,5533
 Pencil case, 필통,5532
 Seventy, 칠십,5531
 A vacuum cleaner, 청소기,5530
 Chinese, 중국어,5529
 To park, 주차하다,5528
 Dragonfly, 잠자리,5527
 Younger son, 작은아들,5526
 Exercise clothes, 운동복,5525
 Fifty, 오십,5524
 Baseball field, 야구장,5523
 Inter-city bus, 시외버스,5522
 Laundromat, 세탁소,5521
 Your (his) esteemed name, 성함,5520
30, 삼십,5519
 Reviewing, 복습,5518
 Domestic airline, 국내선,5517
 Sliced white radish kimchee, 깍두기,5516
 Fax, 팩스,5515
 Pop song, 팝송,5514
 Classic, 클래식,5513
 Entry into a country, 출입국,5512
 Seven, 일곱,5511
 The number six, 육,5510
 The korean under-floor heating system, 온돌,5509
 Light green, 연두색,5508
 Six, 여섯,5507
 And so. like that, 그렇게,5506
 To be impolite, 실례하다,5505
 Skate, 스케이트,5504
 To review, 복습하다,5503
 Purple, 보라색,5502
 Pronounce, 발음하다,5501
 Chinese dumplings, 만두,5500
 Influenza, 독감,5499
 Green tea, 녹차,5498
 Spicy cabbage soup, 김치찌개,5497
 Absent, 결석,5496
 Eight, 팔,5495
 Oldest daughter, 큰딸,5494
 A soccer ball, 축구공,5493
 Green, 초록색,5492
" A medical diagnosis, investigation", 진찰,5491
 Ginseng tea, 인삼차,5490
 The upper floor, 위층,5489
 Monthly rent, 월세,5488
 A ceremony hall, 예식장,5487
" Age, years of age", 연세,5486
 a way to make contact (usually means a phone number), 연락처,5485
 Ophthalmology, 안과,5484
40, 사십,5483
 One hundred, 백,5482
 Bad flavor, 맛없다,5481
 International airline, 국제선,5480
 National or  for citizens, 국민적,5479
" Tea, black tea", 홍차,5478
 Uncle older than one’s father, 큰아버지,5477
 Knife-cut noodles, 칼국수,5476
 Seven, 칠,5475
" At the least, the minimum", 최소,5474
 Gymnasium, 체육관,5473
 Parking, 주차,5472
 Entering a country, 입국,5471
 To cook (food), 요리하다,5470
 A maternal grandfather, 외할아버지,5469
 Ice cream, 아이스크림,5468
 Give a gift, 선물하다,5467
 Five days, 닷새,5466
 Puppy, 강아지,5465
 Tuesday, 화요일,5464
" A man’s father in law, the wife\\`s father", 장인,5463
 Seventy, 일흔,5462
 A little later, 이따가,5461
 The only son, 외아들,5460
 Eighty, 여든,5459
 Vegetarian dish of rice and vegetables, 비빔밥,5458
 Peach, 복숭아,5457
 To be slippery, 미끄럽다,5456
 Literary, 문학적,5455
 German, 독일어,5454
 Fall foliage, 단풍,5453
 Cold noodles soup, 냉면,5452
 A momento, 기념품,5451
 Lazy, 게으르다,5450
 Blue, 파란색,5449
 Leaving the hospital, 퇴원,5448
 Thunder, 천둥,5447
 A rose, 장미,5446
 A postage stamp, 우표,5445
" To book in advance, pledge", 예약하다,5444
 Nine, 아홉,5443
 Inner-city bus, 시내버스,5442
 Thirty, 서른,5441
 A birthday, 생신,5440
 Chicken soup, 삼계탕,5439
 The day after tomorrow, 모레,5438
" A seal, stamp", 대장,5437
 Married, 기혼,5436
 The ribs, 갈비,5435
 The final third of the month, 하순,5434
 To leave the hospital, 퇴원하다,5433
 The first third of a month, 초순,5432
 A pair of gloves, 장갑,5431
 Pajamas, 잠옷,5430
 An uncle younger than your father, 작은아버지,5429
 Japanese, 일본어,5428
 Lower floor, 아래층,5427
 Swimming pool, 수영장,5426
 Granddaughter, 손녀,5425
" A parcel,package", 소포,5424
" four,the fourth", 사,5423
 Pink color, 분홍색,5422
 Crude language, 반말,5421
 Brown seaweed, 미역,5420
 Of the masses, 대중적,5419
 A button, 단추,5418
 Bus for the freeway, 고속버스,5417
 An ancient palace, 고궁,5416
 Batter-fried food, 튀김,5415
 Underground road, 지하도,5414
 An eraser, 지우개,5413
 Chinese restaurant, 중국집,5412
 A man’s mother in law, 장모,5411
 Artistic, 예술적,5410
 Movie theater, 영화관,5409
 Ugly, 못생기다,5408
 Thursday, 목요일,5407
 Diet, 다이어트,5406
 Late autumn, 늦가을,5405
 Four days, 나흘,5404
9, 구,5403
 Modern (adj), 현대적,5402
" ping-pong,table tennis", 탁구,5401
 Christmas, 크리스마스,5400
 The blackboard, 칠판,5399
" To add sth, to supplement", 추가하다,5398
 Reading room, 책방,5397
" pavement,sidewalk", 인도,5396
 The front gate, 앞문,5395
 Bitter (vegetables), 쓰다,5394
 Of the times, 시대적,5393
 Place to ski, 스키장,5392
 Cost of living, 생활비,5391
 Pigeon, 비둘기,5390
 Bowling, 볼링,5389
 Roasted sth, 볶음,5388
 Grammar, 문법,5387
 A rainbow, 무지개,5386
 Necklace, 목걸이,5385
 Fourth, 넷째,5384
 Internal medicine, 내과,5383
 A Jeju orange, 귤,5382
 Offer a performance, 공연하다,5381
 To become worried, 걱정되다,5380
 To give a lecture, 강의하다,5379
" To be exacting, tolling", 힘들어하다,5378
 Hope, 희망하다,5377
" Get cloudy, overcast", 흐려지다,5376
 Waste paper basket, 휴지통,5375
 Tells you the room number, 호실,5374
