 남산, Mountain in south central seoul,5666
 남대문시장, Shopping center in seoul,5665
 호주, Australia,5664
 프랑스, France,5663
 평양, Capital of north korea,5662
 한반도, The korean peninsula,5661
 한라산, Halla-san mountain,5660
 한강," The han river, runs through Seoul",5659
 남대문, Seoul’s old south gate,5658
 서울역, Seoul train station,5657
 서울, Seoul,5656
 제주도, Tourist island off south S.Korea,5655
 지리산," Chili mountain, very beautiful",5654
 파리, Paris,5653
 일본, Japan,5652
 호남," The HONAM district, which is CHOLLA-DO in S.W south korea",5651
 울산," Ulsan, home of hyundai car company and hyundai shipbuilding in kyungsamnamdo",5650
 김포공항, KimPo Domestic (sometimes international) airport,5649
 광주, Region surrounding seoul,5648
 고려, Region surrounding seoul,5647
 고구려, Region surrounding seoul,5646
 경주, Region surrounding seoul,5645
 경복궁, Region surrounding seoul,5644
 경기도, Region surrounding seoul,5643
 강원도, Region surrounding seoul,5642
 한국, Korea,5641
 대한민국, Korea,5640
 우리나라, Korea,5639
 베이징(북경), Beijing,5638
 백제, Historical Korean government,5637
 백두산, Korean mountain,5636
 미국, America,5635
 부산," Busan, city in SE Korea, with largest beach in S.Korea",5634
 북한, North korea,5633
 전라도, South-western region of south korea,5632
 전주, Junju,5631
 금강산, The Diamond Mountains,5630
 남미, South america,5629
 하얀색, White,5628
 초등학생, An elementary school student,5627
 저곳, That place over there,5626
 작은딸, Younger daughter,5625
 일식, Japanese food,5624
 거기, There (location),5623
 인천, Incheon city,5622
 기다리다, To wait,5621
 아시아, Asia,5620
 구십,90,5619
 의식," Consciuosness, awareness",5618
 유럽, Europe,5617
 회사, A company,5616
 영국, England,5615
 지적하다," To indicate, point out",5614
 발달하다, To advance,5613
 이렇게, In this way,5612
 독일, Germany,5611
 워낙," By nature, primarily, by constitution",5610
 도쿄(동경), Tokyo,5609
 정리," arrangment,regulation,adjustment",5608
 근본, The foundation or  basis,5607
 아프리카, Africa,5606
 풍경," Landscape, scenery",5605
 뉴욕, New york,5604
 대전, Daejon city,5603
 저렇게, Like that,5602
 인천공항, Incheon international airport,5601
 거꾸로, Backwards or  bottom up or  the wrong way,5600
 조선, Name for ancient korea culture,5599
 설악산, Famous mountain,5598
 충청도, Area around daejon city,5597
 이십, Twenty,5596
 아흔, Ninety,5595
 미용실, Beauty salon,5594
 검정색, A large sum of money,5593
 갈비탕, Beef-rib soup,5592
 편의점, Convenient store,5591
 케첩, Ketchup,5590
 중식, Chinese food,5589
 제과점, Confectionary store,5588
 외과, Surgery,5587
 여덟, Eight,5586
 억, One hundred million,5585
 양식," raising,farming,culture",5584
 약혼자," A fiance, an engaged person",5583
 분필, Chalk,5582
 멍멍, A bruise,5581
 팔십,80,5580
 큰어머니, The wife of the elder brother of one’s father,5579
 출석하다," attendance,presence",5578
 육십, Sixty,5577
 예습하다," To prepare lessons, rehearse",5576
 예습, Preparation of lessons,5575
 예매하다, Advance purchase,5574
 영상, Above zero,5573
 어저께, Yesterday,5572
 약혼녀, A girl who is engaged,5571
 식품점, Grocery store,5570
 시아버지, one’s husband’s father,5569
 쉰,50,5568
 내후년, The year after next year,5567
 까만색, Black,5566
 기념일, Commemoration day,5565
 결석하다, To be absent,5564
 천, Thousand,5563
 아드님, Your esteemed son,5562
 십,10,5561
 신라, One dynasty in ancient korea,5560
 종로, Famous street in Seoul,5559
 설렁탕, Beef soup with rice,5558
 빗, A comb,5557
 복사기, Memeograph,5556
 메일, Mail,5555
 넉, The fourth,5554
 세종대왕," King sejong, who invented Hangul",5553
 한식, Korean food,5552
 한글날, Korean writing system national holiday,5551
 축구장, Soccer field,5550
 작은어머니, An aunt younger than your mother,5549
 오, Five,5548
 예순, Sixty,5547
 양력, The solar calendar,5546
 소아과, Pediatrics,5545
 색연필, Colored pencil,5544
 사탕, Sugar,5543
